#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
45163  43.983  -83.593 2021 05 25 23 20 220   4.0   5.0  0.4   3   MM 226 1012.5    MM  21.1    MM    MM   MM     MM
45164  41.732  -81.694 2021 05 25 23 00  MM   2.0   4.0  0.1  MM   MM  MM     MM    MM  22.8    MM    MM   MM     MM
45165  41.702  -83.261 2021 05 25 23 30  90   5.0   7.0  0.4   2   MM  80     MM    MM  26.8  20.6    MM   MM     MM
45168  42.397  -86.331 2021 05 25 23 30 200   3.0   4.0  0.2  MM   MM 272 1013.5    MM  17.0  14.4  13.5   MM     MM
45174  42.135  -87.655 2021 05 25 23 30 240   5.0   7.0  0.4   2   MM 237 1011.6    MM    MM  12.6    MM   MM     MM
45175  45.825  -84.772 2021 05 25 23 30 240   4.0   4.0  0.6   4   MM  MM 1007.2    MM  18.2  10.7  12.9   MM     MM
45176  41.550  -81.765 2021 05 25 23 00  MM    MM    MM  0.3   2   MM  27     MM    MM    MM  19.8    MM   MM     MM
45186  42.368  -87.795 2021 05 25 23 20 250   3.0   4.0  0.3   3   MM  MM     MM    MM  19.9  11.2    MM   MM     MM
45187  42.491  -87.779 2021 05 25 23 00 250   7.0  10.0  0.5   3   MM  MM     MM    MM  19.7   9.0    MM   MM     MM
45194  45.804  -84.792 2021 05 25 22 00  MM    MM    MM  0.7   3  2.4 260     MM    MM  19.6  11.0    MM   MM     MM
45195  44.488  -73.339 2021 05 25 23 00  MM    MM    MM  0.4   3   MM  MM     MM    MM    MM  12.0    MM   MM     MM
46001  56.232 -147.949 2021 05 25 22 50  MM   5.0   6.0  1.3  11  7.1 247 1017.9  -0.4    MM   6.5    MM   MM     MM
46002  42.658 -130.502 2021 05 25 23 20 300   4.0   6.0   MM  MM   MM  MM 1025.9    MM  13.3  14.0   7.3   MM     MM
46004  50.930 -136.100 2021 05 25 23 00 170   6.0   7.0  1.1  15   MM  MM 1018.2  -1.4   8.4   9.8    MM   MM     MM
46005  46.134 -131.079 2021 05 25 23 20 170   2.0   3.0   MM  MM   MM  MM 1023.6    MM  11.0  12.2   5.6   MM     MM
46006  40.766 -137.379 2021 05 25 23 20 200   7.0   8.0   MM  MM   MM  MM 1025.4    MM    MM  16.2    MM   MM     MM
46011  34.956 -121.019 2021 05 25 23 20 320  11.0  14.0   MM  MM   MM  MM 1016.4    MM    MM  11.9    MM   MM     MM
46012  37.356 -122.881 2021 05 25 23 20 310   8.0  10.0   MM  MM   MM  MM 1019.9    MM  10.9    MM   9.4   MM     MM
46014  39.231 -123.974 2021 05 25 23 20 320  11.0  14.0   MM  MM   MM  MM 1020.8    MM  11.7  11.6  10.3   MM     MM
46015  42.752 -124.844 2021 05 25 23 20 360   6.0   7.0   MM  MM   MM  MM 1024.6    MM  11.8  11.7  10.4   MM     MM
46022  40.748 -124.527 2021 05 25 23 20 350   5.0   7.0   MM  MM   MM  MM 1023.1    MM  11.5  11.1  10.3   MM     MM
46025  33.758 -119.044 2021 05 25 23 20 300   2.0   2.0   MM  MM   MM  MM 1013.4    MM  17.8  19.1  15.7   MM     MM
46026  37.754 -122.839 2021 05 25 23 20 310   7.0   9.0   MM  MM   MM  MM 1019.3    MM    MM  10.4    MM   MM     MM
46027  41.852 -124.380 2021 05 25 23 20 320   7.0   9.0   MM  MM   MM  MM 1023.8    MM    MM   9.0    MM   MM     MM
46028  35.770 -121.903 2021 05 25 23 20 320  13.0  17.0   MM  MM   MM  MM 1017.7    MM  12.3  12.6    MM   MM     MM
46029  46.143 -124.485 2021 05 25 23 20 300   4.0   6.0   MM  MM   MM  MM 1023.2    MM  11.4  11.2    MM   MM     MM
46036  48.360 -133.940 2021 05 25 23 00 200   6.0   8.0   MM  16   MM  MM 1021.0  -1.2  10.3  11.7    MM   MM     MM
46041  47.353 -124.742 2021 05 25 23 20 280   2.0   3.0   MM  MM   MM  MM 1022.0    MM  11.8  12.5   9.8   MM     MM
46042  36.785 -122.398 2021 05 25 23 20 320  10.0  13.0   MM  MM   MM  MM 1019.6    MM  11.6  11.2    MM   MM     MM
46047  32.388 -119.525 2021 05 25 23 20 320   8.0   9.0   MM  MM   MM  MM 1014.1    MM  14.1  13.5  12.0   MM     MM
46050  44.669 -124.546 2021 05 25 23 20 310   5.0   6.0   MM  MM   MM  MM 1023.2    MM    MM  11.6    MM   MM     MM
46053  34.241 -119.839 2021 05 25 23 20 220   3.0   5.0   MM  MM   MM  MM 1013.5    MM  16.0  15.1  12.7   MM     MM
46054  34.273 -120.470 2021 05 25 23 20 310  13.0  16.0   MM  MM   MM  MM 1014.3    MM  12.7  12.6  11.3   MM     MM
46060  60.587 -146.819 2021 05 25 22 50 180   5.0   6.0  0.7   4  3.8 204 1015.3  -0.8   7.8   8.8    MM   MM     MM
46061  60.238 -146.833 2021 05 25 22 50 180   5.0   5.0  0.8  17   MM  MM 1016.5  -0.5   7.3   7.3    MM   MM     MM
46069  33.677 -120.213 2021 05 25 23 20  MM  12.0  14.0   MM  MM   MM  MM 1015.8    MM  13.2    MM    MM   MM     MM
46071  51.125  179.012 2021 05 25 21 50  MM    MM    MM  1.1   6  5.5 247  998.4  +1.4    MM    MM    MM   MM     MM
46072  51.672 -172.088 2021 05 25 23 20  MM   4.0   8.0   MM  MM   MM  MM  992.3    MM    MM   5.6    MM   MM     MM
46073  55.009 -172.002 2021 05 25 22 50  90   8.0  10.0  1.5   6  5.1 104 1001.1  -2.6   5.0   4.8    MM   MM     MM
46076  59.471 -148.009 2021 05 25 22 50  70   7.0   9.0  1.3  17  5.1 146 1015.5  +0.0   7.2   8.1    MM   MM     MM
46077  57.902 -154.176 2021 05 25 22 50 250   8.0  10.0  0.7  10  3.7 203 1018.1  -0.9   6.7   7.1   5.4   MM     MM
46078  55.556 -152.582 2021 05 25 22 50 110   2.0   3.0  1.6  10  7.1 217 1019.9  +0.3   6.8   7.2    MM   MM     MM
46081  60.802 -148.283 2021 05 25 22 50 120   7.0  10.0   MM  MM   MM  MM 1014.9  -0.5  10.2  10.3   7.6   MM     MM
46082  59.681 -143.372 2021 05 25 22 50  MM    MM    MM  0.9  16  7.1 166 1016.7  -0.8   7.0   8.5    MM   MM     MM
46083  58.270 -138.019 2021 05 25 22 50  MM   4.0   5.0  1.1  16  7.7 198 1016.0  -0.8    MM   8.5    MM   MM     MM
46084  56.622 -136.102 2021 05 25 23 20 290   2.0   2.0   MM  MM   MM  MM 1015.4    MM   8.8   8.8   7.4   MM     MM
46085  55.883 -142.882 2021 05 25 23 20 270   2.0   3.0   MM  MM   MM  MM 1017.2    MM   6.7   7.6   5.6   MM     MM
46086  32.499 -118.052 2021 05 25 23 20 250   4.0   5.0   MM  MM   MM  MM 1013.4    MM  16.2  16.1  14.5   MM     MM
46088  48.332 -123.179 2021 05 25 23 20 230   7.0   8.0  0.4   3  2.7 246 1019.6    MM  11.9  10.3   9.6   MM     MM
46089  45.937 -125.793 2021 05 25 23 20 300   6.0   7.0   MM  MM   MM  MM 1023.9    MM  11.5  12.3   8.0   MM     MM
46092  36.751 -122.029 2021 05 25 23 16 260  12.0    MM   MM  MM   MM  MM 1017.3  -1.3  11.1  10.9    MM   MM     MM
46097  44.639 -124.304 2021 05 25 21 50 300   3.0    MM   MM  MM   MM  MM 1023.2    MM  12.1  12.4    MM   MM     MM
46098  44.381 -124.956 2021 05 25 21 50 330   6.0    MM   MM  MM   MM  MM 1023.7    MM  12.2  12.4    MM   MM     MM
46099  46.986 -124.566 2021 05 25 21 50 280   4.0    MM   MM  MM   MM  MM 1021.2    MM  12.3  12.1    MM   MM     MM
46100  46.851 -124.972 2021 05 25 21 50 300   6.0    MM   MM  MM   MM  MM 1021.2    MM    MM  12.2    MM   MM     MM
46108  59.596 -151.829 2021 05 25 23 00  MM    MM    MM  0.3  11  2.7 200     MM    MM   7.1   6.3    MM   MM     MM
46114  36.700 -122.343 2021 05 25 23 26  MM    MM    MM  1.6  10  5.3 300     MM    MM    MM  11.1    MM   MM     MM
46128  43.292 -124.538 2021 05 25 23 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  11.1    MM   MM     MM
46131  49.910 -124.980 2021 05 25 23 00 330   1.0   2.0   MM   3   MM  MM 1018.4  -0.9  15.7    MM    MM   MM     MM
46132  49.780 -127.890 2021 05 25 23 00 270   6.0   7.0  1.1  16   MM  MM 1021.3  +0.4  10.3   9.8    MM   MM     MM
46145  54.370 -132.420 2021 05 25 23 00 270   4.0   5.0  0.6   6   MM  MM 1017.9  +0.4   8.4   9.7    MM   MM     MM
46146  49.340 -123.730 2021 05 25 22 00 150   1.0   2.0   MM   5   MM  MM 1018.8  -0.4  15.1  17.1    MM   MM     MM
46147  51.830 -131.220 2021 05 25 23 00 230   4.0   5.0  1.3  16   MM  MM 1020.0  +0.2   9.3   9.3    MM   MM     MM
46181  53.830 -128.830 2021 05 25 23 00 190   8.0  11.0  0.4   3   MM  MM 1017.6  +0.7    MM  13.9    MM   MM     MM
46183  53.620 -131.100 2021 05 25 23 00 180   4.0   5.0  0.3  16   MM  MM 1018.5  +0.2   9.7  10.4    MM   MM     MM
46184  53.920 -138.850 2021 05 25 23 00 200   1.0   1.0  1.1  16   MM  MM 1017.3  -0.7   8.1   9.3    MM   MM     MM
46185  52.420 -129.790 2021 05 25 23 00 220   4.0   5.0  0.6  15   MM  MM 1019.7  +0.3  10.1  11.1    MM   MM     MM
46204  51.380 -128.770 2021 05 25 23 00 260   4.0   4.0  0.9  14   MM  MM 1020.8  +0.3  10.5  11.2    MM   MM     MM
46205  54.180 -134.320 2021 05 25 23 00 240   3.0   4.0  0.9  17   MM  MM 1017.7  +0.0   8.4   9.7    MM   MM     MM
46206  48.840 -126.000 2021 05 25 23 00 310   7.0   8.0  1.1   7   MM  MM 1021.3  +0.4  10.8  11.5    MM   MM     MM
46207  50.870 -129.920 2021 05 25 23 00 260   3.0   4.0  1.1  16   MM  MM 1021.1  +0.3  10.0  10.8    MM   MM     MM
46208  52.520 -132.690 2021 05 25 23 00 220   3.0   5.0  1.0  15   MM  MM 1019.3  -0.1   9.1   9.9    MM   MM     MM
46211  46.857 -124.244 2021 05 25 23 26  MM    MM    MM  1.4   7  6.7 280     MM    MM    MM  11.8    MM   MM     MM
46213  40.295 -124.732 2021 05 25 22 56  MM    MM    MM  1.4   6  5.7 305     MM    MM    MM  11.6    MM   MM     MM
