#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
OTNM4  46.870  -89.330 2021 05 25 22 00 310   5.7   8.2   MM  MM   MM  MM 1003.4    MM    MM    MM    MM   MM     MM
PAXA2  58.159 -134.178 2021 05 25 23 33 310   2.1   5.7   MM  MM   MM  MM 1010.6    MM  13.4    MM   4.1   MM     MM
PBPA2  58.203 -134.148 2021 05 25 23 10 150   1.0   2.1   MM  MM   MM  MM 1012.9    MM  13.6    MM   5.4   MM     MM
PGXA2  57.016 -134.618 2021 05 25 23 33 340   1.0   2.6   MM  MM   MM  MM     MM    MM  10.7    MM   6.2   MM     MM
PILA2  59.742 -149.470 2021 05 25 23 30 170   1.5   2.6   MM  MM   MM  MM 1016.3    MM   6.9    MM   6.8   MM     MM
PILM4  48.223  -88.366 2021 05 25 23 00 190   6.7   7.7   MM  MM   MM  MM 1002.0  -1.4  11.9    MM    MM   MM     MM
PKYF1  24.918  -80.747 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  26.8    MM   MM  -0.89
PNGW3  46.792  -91.386 2021 05 25 22 40 250   5.1   8.2   MM  MM   MM  MM 1001.0    MM  25.6    MM    MM   MM     MM
POTA2  61.060 -146.700 2021 05 25 23 30  MM   0.0   1.5   MM  MM   MM  MM 1015.0    MM  11.4    MM    MM   MM     MM
PRTA2  58.411 -134.955 2021 05 25 23 10  10   5.1   5.7   MM  MM   MM  MM 1013.7    MM  13.3    MM   6.9   MM     MM
PSCM4  43.420  -82.540 2021 05 25 23 00 230   4.6   8.2   MM  MM   MM  MM 1030.1  -1.4  29.1    MM    MM   MM     MM
PTAT2  27.826  -97.051 2021 05 25 23 00 130   8.8   9.8   MM  MM   MM  MM 1015.3  -1.0  25.9  27.1  24.7   MM     MM
PTGC1  34.577 -120.648 2021 05 25 23 00 360  12.4  13.4   MM  MM   MM  MM 1015.8  -0.8  12.5    MM    MM   MM     MM
PTLA2  58.346 -134.752 2021 05 25 23 32 320   4.1   5.7   MM  MM   MM  MM 1012.1    MM  12.1    MM   8.2   MM     MM
PTRP4  18.367  -67.251 2021 05 25 23 35  70   3.1   7.2   MM  MM   MM  MM     MM    MM  26.7    MM    MM   MM     MM
PWAW3  43.388  -87.867 2021 05 25 22 40 210   3.6   9.8   MM  MM   MM  MM 1011.2    MM  29.2    MM    MM   MM     MM
RIXA2  58.177 -135.052 2021 05 25 23 32 260   3.6   4.6   MM  MM   MM  MM 1011.5    MM   9.3    MM   6.1   MM     MM
ROAM4  47.867  -89.313 2021 05 25 23 00 260   5.1   5.7   MM  MM   MM  MM 1001.8  -1.8  12.6    MM    MM   MM     MM
RPRN6  43.263  -77.598 2021 05 25 23 00 260   9.3  12.9   MM  MM   MM  MM 1014.6  -0.6  28.7    MM    MM   MM     MM
SANF1  24.456  -81.877 2021 05 25 23 30  80   8.8  10.8   MM  MM   MM  MM 1020.4    MM  25.7    MM  20.6   MM     MM
SAUF1  29.857  -81.265 2021 05 25 23 00 130   6.2   6.7   MM  MM   MM  MM 1022.7  -0.5  24.5  25.1  20.6   MM     MM
SBLM4  43.810  -83.720 2021 05 25 23 00 260   6.2   7.2   MM  MM   MM  MM 1011.2  -1.0  24.3    MM    MM   MM     MM
SCXA2  58.205 -134.646 2021 05 25 23 32 350   6.7   7.7   MM  MM   MM  MM 1010.9    MM  11.3    MM   7.5   MM     MM
SDIA2  58.277 -134.389 2021 05 25 23 28 320   5.7   6.2   MM  MM   MM  MM 1012.6    MM  13.9    MM   6.7   MM     MM
SGNW3  43.749  -87.693 2021 05 25 23 00 220  11.8  13.4   MM  MM   MM  MM     MM    MM  27.2    MM    MM   MM     MM
SGOF1  29.408  -84.858 2021 05 25 23 00 180   4.1   4.1   MM  MM   MM  MM 1021.9  -0.8  24.2    MM  22.1   MM     MM
SHPF1  30.058  -84.291 2021 05 25 21 54 180   4.6   5.7   MM  MM   MM  MM 1020.6    MM  27.2    MM    MM   MM   1.72
SHXA2  57.055 -135.349 2021 05 25 23 32 240   3.6   6.2   MM  MM   MM  MM 1013.2    MM   9.5    MM   6.5   MM     MM
SISA2  58.177 -135.259 2021 05 25 23 22 290   3.1   4.1   MM  MM   MM  MM     MM    MM  11.8    MM    MM   MM     MM
SISW1  48.321 -122.831 2021 05 25 23 20 270   6.7   8.2   MM  MM   MM  MM 1019.9    MM  11.9    MM   8.7   MM     MM
SJOM4  42.098  -86.494 2021 05 25 23 00 210   5.7   7.7   MM  MM   MM  MM 1013.9  -2.4  23.1    MM    MM   MM     MM
SKXA2  59.448 -135.326 2021 05 25 23 32 340   3.1   5.7   MM  MM   MM  MM 1011.8    MM  15.7    MM   2.1   MM     MM
SLVM5  47.278  -91.270 2021 05 25 22 40 210   9.8  15.4   MM  MM   MM  MM  999.7    MM  14.4    MM    MM   MM     MM
SLXA2  55.340 -131.644 2021 05 25 23 33 190   6.2   9.3   MM  MM   MM  MM 1014.3    MM  10.0    MM   3.0   MM     MM
SMKF1  24.628  -81.109 2021 05 25 23 30  80   8.2  10.3   MM  MM   MM  MM 1020.5    MM  25.6    MM  21.2   MM     MM
SPGF1  26.704  -78.995 2021 05 25 23 00  70   8.2   9.3   MM  MM   MM  MM 1022.3  -0.7  25.3    MM    MM   MM     MM
SPXA2  55.616 -132.203 2021 05 25 23 33 290   2.6   4.1   MM  MM   MM  MM 1014.1    MM    MM    MM    MM   MM     MM
SREF1  25.352  -81.100 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  26.1    MM   MM  -1.21
SSBN7  33.838  -78.484 2021 05 25 23 17  MM    MM    MM  0.6   3   MM 175     MM    MM    MM  24.2    MM   MM     MM
STDM4  47.184  -87.225 2021 05 25 23 00 160   5.7   6.2   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
STXA2  57.116 -135.391 2021 05 25 23 32 190   3.1   6.7   MM  MM   MM  MM 1012.6    MM   9.0    MM   6.6   MM     MM
SVNM4  42.401  -86.288 2021 05 25 23 10  MM   5.7   5.7   MM  MM   MM  MM     MM    MM  20.5    MM    MM   MM     MM
SXHW3  46.563  -90.437 2021 05 25 22 40 220   2.6   6.2   MM  MM   MM  MM 1001.7    MM  23.4    MM    MM   MM     MM
SXXA2  55.315 -131.596 2021 05 25 23 33 210   4.1   7.2   MM  MM   MM  MM 1015.4    MM   9.9    MM   4.9   MM     MM
TAWM4  44.254  -83.449 2021 05 25 22 40 230   6.7  11.8   MM  MM   MM  MM 1011.5    MM  27.0    MM    MM   MM     MM
TBIM4  45.035  -83.194 2021 05 25 23 00  MM   9.3   9.8   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
TBYF1  25.155  -80.722 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  29.5    MM   MM  -0.43
TCVF1  25.213  -80.533 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  27.9    MM   MM  -0.68
TFBLK  65.698  -24.778 2021 05 25 23 00  MM    MM    MM  2.1   7   MM  MM     MM    MM    MM    MM    MM   MM     MM
THLO1  41.826  -83.194 2021 05 25 23 00 250   7.2   7.7   MM  MM   MM  MM     MM    MM  26.0    MM    MM   MM     MM
TKEA2  57.779 -135.219 2021 05 25 23 32 120   2.6   3.1   MM  MM   MM  MM 1012.2    MM  12.2    MM   7.3   MM     MM
TPEF1  25.410  -80.964 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  27.1    MM   MM   0.15
TPLM2  38.899  -76.436 2021 05 25 23 00 140   8.8   9.3   MM  MM   MM  MM 1022.2  -1.5  19.7  19.8  16.8   MM     MM
TRRF1  25.217  -80.650 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  29.9    MM   MM  -0.62
TWCO1  41.699  -83.259 2021 05 25 23 30 250   8.2  10.8   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
VENF1  27.072  -82.453 2021 05 25 23 00 310   4.6   5.1   MM  MM   MM  MM 1020.5  -0.5  26.0  27.3  19.9   MM     MM
WATS1  34.335  -80.702 2021 05 25 23 30 360   1.0   1.5   MM  MM   MM  MM 1021.0    MM  27.4    MM    MM   MM     MM
WFPM4  46.760  -84.970 2021 05 25 22 40 230   7.7  10.8   MM  MM   MM  MM 1005.1    MM  22.3    MM    MM   MM     MM
WHRI2  42.361  -87.813 2021 05 25 22 00 240  10.8  13.4   MM  MM   MM  MM     MM    MM  25.5    MM    MM   MM     MM
WIWF1  25.587  -81.044 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  28.2    MM   MM  -0.01
WPLF1  25.710  -81.249 2021 05 25 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  26.8    MM   MM  -0.02
WPOW1  47.662 -122.436 2021 05 25 23 00 160   3.6   4.1   MM  MM   MM  MM 1020.1  +0.0  13.3    MM  11.1   MM     MM
WRBF1  25.072  -80.735 2021 05 25 21 00  30   4.6    MM   MM  MM   MM  MM     MM    MM    MM  28.9    MM   MM  -0.51
WSLM4  45.842  -85.135 2021 05 25 23 00 210  12.4    MM   MM  MM   MM  MM 1007.3  -1.6  16.6  11.1  11.6   MM     MM
