#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
45159  43.770  -78.980 2021 05 26 13 00 240   5.0   5.0  0.4   4   MM  MM 1010.6  -0.2  15.0  12.3    MM   MM     MM
45161  43.185  -86.355 2021 05 26 13 40 240   6.0   7.0  0.6   3   MM 203 1013.4    MM  12.7  11.7    MM   MM     MM
45162  44.988  -83.270 2021 05 26 13 20 240   6.0   7.0  0.4   3   MM  MM 1007.9    MM  14.9    MM    MM   MM     MM
45163  43.983  -83.593 2021 05 26 13 40 230   5.0   6.0  0.4   3   MM 214 1012.3    MM  16.0    MM    MM   MM     MM
45164  41.732  -81.694 2021 05 26 13 00  MM   5.0   9.0  0.6   4   MM  MM     MM    MM  19.3    MM    MM   MM     MM
45165  41.702  -83.261 2021 05 26 13 50 330   6.0   9.0  0.3   2   MM 252     MM    MM  21.6  19.8    MM   MM     MM
45168  42.397  -86.331 2021 05 26 13 50 300   6.0   8.0  0.6   4   MM 149 1014.3    MM  15.3  13.9  13.2   MM     MM
45170  41.755  -86.968 2021 05 26 13 50  MM   3.0   4.0  0.2  MM   MM  MM     MM    MM  17.1    MM    MM   MM     MM
45174  42.135  -87.655 2021 05 26 13 50 230   4.0   6.0  0.2  MM   MM 251 1014.1    MM    MM  12.8    MM   MM     MM
45175  45.825  -84.772 2021 05 26 13 45 260   7.0   8.0  0.6   3   MM  MM 1009.6    MM  12.4  10.9  10.6   MM     MM
45176  41.550  -81.765 2021 05 26 13 00  MM    MM    MM  0.4   3   MM 317     MM    MM    MM  18.9    MM   MM     MM
45186  42.368  -87.795 2021 05 26 13 40 170    MM    MM  0.2  MM   MM 162     MM    MM  16.6  10.0    MM   MM     MM
45187  42.491  -87.779 2021 05 26 13 40 220    MM    MM  0.2  MM   MM 169     MM    MM  16.6   9.5    MM   MM     MM
45194  45.804  -84.792 2021 05 26 13 00  MM    MM    MM  0.6   3  2.4 263     MM    MM  12.4  10.2    MM   MM     MM
45195  44.488  -73.339 2021 05 26 13 30  MM    MM    MM  0.5   3   MM  MM     MM    MM    MM  11.7    MM   MM     MM
46001  56.232 -147.949 2021 05 26 12 50  MM   7.0   8.0  1.3  16   MM  MM 1016.6  +0.0    MM   6.4    MM   MM     MM
46002  42.658 -130.502 2021 05 26 13 40 190   8.0  10.0   MM  MM   MM  MM 1020.7    MM  13.6  13.6  12.7   MM     MM
46004  50.930 -136.100 2021 05 26 13 00  50  11.0  14.0  3.0   7   MM  MM 1001.1  -1.5   8.7   9.3    MM   MM     MM
46005  46.134 -131.079 2021 05 26 13 40 180  13.0  15.0   MM  MM   MM  MM 1012.2    MM  12.2  11.8  11.6   MM     MM
46006  40.766 -137.379 2021 05 26 13 40 220  10.0  12.0   MM  MM   MM  MM 1018.6    MM    MM  15.9    MM   MM     MM
46011  34.956 -121.019 2021 05 26 13 40 320  10.0  12.0   MM  MM   MM  MM 1017.0    MM    MM  11.6    MM   MM     MM
46012  37.356 -122.881 2021 05 26 13 40 320   9.0  11.0   MM  MM   MM  MM 1018.4    MM  10.1    MM   9.0   MM     MM
46014  39.231 -123.974 2021 05 26 13 40 330  10.0  12.0   MM  MM   MM  MM 1019.3    MM  10.6  10.8   9.6   MM     MM
46015  42.752 -124.844 2021 05 26 13 40  10   6.0   7.0   MM  MM   MM  MM 1022.4    MM  10.8  10.6  10.1   MM     MM
46022  40.748 -124.527 2021 05 26 13 40 360   9.0  11.0   MM  MM   MM  MM 1020.9    MM  10.4   9.7   9.4   MM     MM
46025  33.758 -119.044 2021 05 26 13 40 340   3.0   4.0   MM  MM   MM  MM 1014.8    MM  15.6  17.3  13.2   MM     MM
46026  37.754 -122.839 2021 05 26 13 40 310   8.0  10.0   MM  MM   MM  MM 1017.8    MM    MM  10.1    MM   MM     MM
