#group,false,false,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string,string,string
#default,_result,,,,,,,,
,result,table,_time,_value,_field,_measurement,name,source,type
,,0,2021-07-26T06:26:11Z,50.9526,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T06:53:10Z,-17.4198,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T07:18:29Z,-42.5259,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T07:37:52Z,12.0669,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T07:53:12Z,49.2041,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T08:23:38Z,-10.1472,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T08:43:22Z,-51.6179,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T08:55:58Z,-31.5814,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T09:34:35Z,48.2774,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T10:12:30Z,-49.1379,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T10:53:29Z,39.0427,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T11:18:20Z,23.1476,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T11:38:01Z,-34.4328,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T11:52:56Z,-49.5669,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T12:33:32Z,50.7658,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T13:08:25Z,-27.7663,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T13:52:49Z,21.8282,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T14:18:26Z,38.3633,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T14:38:28Z,-19.6293,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T14:52:55Z,-50.7981,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T15:23:55Z,16.5134,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T15:49:08Z,43.2338,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T16:32:56Z,-47.9161,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T17:09:18Z,47.32,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T17:35:52Z,5.7065,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T17:52:47Z,-41.8285,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T18:25:41Z,4.3672,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T18:50:46Z,49.8382,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T19:15:52Z,-15.717,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T19:38:05Z,-48.8429,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T19:52:53Z,-12.8949,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T20:20:14Z,51.6218,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T20:40:06Z,10.4912,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T20:52:52Z,-27.4614,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T21:19:09Z,-31.8363,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T21:42:25Z,35.5673,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-26T21:55:05Z,51.0882,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
